MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxEStateIndex	MinEStateIndex	MaxAbsEStateIndex	MinAbsEStateIndex	BalabanJ	BertzCT	FractionCSP3	HallKierAlpha	HeavyAtomCount	Ipc	LabuteASA	MolLogP	MolMR	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	TPSA	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	active
397.455	372.255	397.18758028	152	0	12.2198967307	-0.442944574024	12.2198967307	0.117350255631	1.29093885855	1040.76575465515	0.380952380952381	-3.13	29	5731039.92979	167.638691729307	1.3402	107.5624	2	8	0	1	1	1	2	3	6	1	8	6	0	1	1	4	90.85	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
531.637	496.357	531.2719786	204	0	13.3263811015	-0.0720434729435	13.3263811015	0.0214807466196	1.35187359228	1506.73892066525	0.448275862068966	-3.92	39	1335587777.9	226.424917238835	3.025	145.1064	2	10	1	1	2	2	2	4	8	2	10	9	1	0	1	6	108.59	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
356.49	326.25	356.2338022	140	0	11.7421026556	-0.0298158464388	11.7421026556	0.0298158464388	1.76806089646	739.113651339049	0.476190476190476	-2.11	26	1017709.32679	155.016389656675	1.8035	103.8058	4	5	0	1	1	2	0	2	3	3	5	7	0	1	1	3	68.79	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
305.813	285.653	305.14072332	112	0	6.29916756775	0.315969702696	6.29916756775	0.315969702696	2.0271592785	638.744256475036	0.533333333333333	-1.62	21	87512.4426412	129.028796566762	3.5729	83.8914	2	5	1	0	1	1	1	2	5	1	6	2	1	0	1	3	69.62	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
433.555	410.371	433.112998216	154	0	12.0543272489	-0.999516523373	12.0543272489	0.160044124897	1.71549431182	887.641088657357	0.4	-2.07	29	5522200.86453	176.748311145264	1.9574	114.433	4	7	1	1	2	1	1	2	7	3	9	5	1	1	2	4	108.38	0	2	2	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
474.542	452.366	474.136176184	172	0	13.9121381473	-1.62380897266	13.9121381473	0.0563066893424	1.59241548743	1293.32807440893	0.2	-3.69	34	63899516.1435	200.441701731407	3.53172	128.5448	1	8	0	2	2	2	1	3	7	1	9	5	0	0	0	5	95.86	0	0	0	0	0	2	0	1	0	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
475.615	442.351	475.225325536	180	0	12.8423482992	-3.7605588986	12.8423482992	0.0331374224575	1.83594862473	1107.8299915346	0.521739130434783	-2.72	33	15305549.0428	195.662242376346	1.04812	124.924	1	9	0	1	1	1	1	2	7	0	10	8	0	1	1	3	111.02	0	0	0	0	1	2	1	0	1	1	1	1	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
476.492	453.308	476.184640816	178	0	15.0159326588	-0.543923234828	15.0159326588	0.142441880932	1.28563728424	1363.38091532636	0.25	-4.41	35	130248235.479	199.532112877871	2.61994	122.0602	1	10	0	1	1	1	3	4	8	0	11	7	0	1	1	5	109.28	0	0	0	0	0	6	1	0	0	0	2	2	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
455.515	426.283	455.216869028	176	0	13.1543278363	-0.981425133325	13.1543278363	0.136782872227	1.63936743958	1120.71057605584	0.478260869565217	-3.56	33	22295183.1263	191.231593264116	2.3339	124.1791	3	10	0	2	2	1	1	2	7	3	10	5	0	1	1	4	125.65	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
481.53	458.346	481.130756456	176	0	12.8337483628	-3.51302244906	12.8337483628	0.0634755529597	1.65465052459	1552.72324703994	0.208333333333333	-3.92	34	39972136.6907	195.441075718931	3.52924	126.098	1	9	0	0	0	2	2	4	8	1	10	7	0	0	0	4	119.98	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
