MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxEStateIndex	MinEStateIndex	MaxAbsEStateIndex	MinAbsEStateIndex	BalabanJ	BertzCT	FractionCSP3	HallKierAlpha	HeavyAtomCount	Ipc	LabuteASA	MolLogP	MolMR	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	TPSA	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	active
432.522	406.314	432.159316932	160	0	12.9893453651	-3.75601219487	12.9893453651	0.00563292600991	1.40194297135	1056.35740494199	0.380952380952381	-2.62	30	7276171.97844	175.770260536964	-0.0320999999999964	111.4629	3	8	0	2	2	2	0	2	5	2	9	6	0	0	0	4	103.37	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
305.725	293.629	305.067952304	108	0	12.2145989229	-0.685853174603	12.2145989229	0.0381615331318	1.74445683547	727.101740933256	0.230769230769231	-2.41	21	82802.5488311	124.860292976107	1.70302	77.4949	2	7	0	1	1	1	1	2	6	2	8	2	0	0	0	3	88.91	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405.478	380.278	405.19266566	154	0	13.6190907659	-1.44905089968	13.6190907659	0.126713645335	1.57415022054	1189.17465056844	0.347826086956522	-3.03	30	9776722.33571	173.646094521119	-1.20616	112.324	4	7	0	3	3	2	0	2	4	4	7	2	0	1	1	5	99.13	0	2	2	0	0	0	0	0	0	0	1	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445.527	418.311	445.222623104	170	0	6.2228557848	0.29586538836	6.2228557848	0.29586538836	1.22658767716	1239.18157502779	0.375	-3.43	33	101411910.698	191.331398691596	2.9345	125.9594	2	9	0	2	2	1	3	4	9	1	9	4	0	2	2	6	97.95	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
529.712	496.448	529.205555916	192	0	13.4386034128	-0.743493703349	13.4386034128	0.00389878327874	1.42335362021	1096.47886156795	0.48	-2.92	36	132667638.35	218.6683961594	0.567100000000004	141.0987	6	9	0	2	2	1	1	2	6	4	11	10	0	2	2	4	143.01	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
379.438	358.27	379.120191772	140	0	12.5717254908	-3.85946919354	12.5717254908	0.0152973303519	1.94042995399	878.384583134383	0.470588235294118	-2.42	26	669010.097546	151.836487732482	1.4591	95.8210000000001	1	8	0	2	2	1	0	1	6	1	9	3	0	1	1	3	105.14	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
484.665	442.329	484.328765204	192	0	13.0507311271	-0.222761710669	13.0507311271	0.0397761920347	1.23109999143	941.226374429559	0.62962962962963	-2.42	35	96290718.5239	209.054860855718	1.50544	136.908	2	8	0	2	2	1	1	2	6	2	8	9	0	2	2	4	77.49	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
346.416	328.272	346.121194816	126	0	12.0847587007	-0.343086979441	12.0847587007	0.10899898694	1.68688051073	742.677480658808	0.4	-2.42	24	424224.44603	143.141489722132	1.4296	89.0787	1	8	0	1	1	1	1	2	7	1	9	5	0	1	1	3	93.01	0	0	0	0	0	4	0	0	0	0	2	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
466.494	440.286	466.185234552	178	0	13.1938690085	-1.35094573029	13.1938690085	0.16087058265	1.44900457244	1146.65222333993	0.333333333333333	-4.08	34	36233832.5289	196.348710958074	1.9554	122.7349	2	10	0	2	2	2	0	2	6	2	10	5	0	1	1	4	117.28	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
450.52	428.344	450.136176184	164	0	13.3211542986	-1.21796227886	13.3211542986	0.287051835133	1.35850053782	1167.2316108171	0.391304347826087	-3.38	32	25498622.7571	188.705863871067	3.05698	117.3994	2	8	1	2	3	1	1	2	6	2	9	3	0	1	1	5	111.53	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
