messup_type,messup_prob,entropy_mean,entropy_min,entropy_max,perplexity_mean,perplexity_min,perplexity_max
character,0.0,3.1226085095360054,3.1226085095360054,3.1226085095360054,8.709612357124291,8.709612357124291,8.709612357124291
character,1e-05,3.1225705068454075,3.1222284826300273,3.1226085095360054,8.709382963451715,8.707318420398526,8.709612357124291
character,0.0001,3.121905173006481,3.120131194712909,3.1229193821253944,8.705368637227604,8.694669533555585,8.711489310607531
character,0.001,3.1161204420360944,3.110923606517974,3.119441721206681,8.670545905075048,8.639354996058564,8.690515286203846
character,0.01,3.0491685043825063,3.0346503960769557,3.06956861115015,8.277599441823257,8.194468602867145,8.395222787993065
character,0.05,2.758467677177303,2.7236848472678443,2.775961156105157,6.767240252465979,6.605578191624281,6.849321859074703
character,0.1,2.4192646958515405,2.367047476164539,2.4588961354599395,5.34988697134654,5.158842766871142,5.497958951209673
word,0.0,3.1226085095360054,3.1226085095360054,3.1226085095360054,8.709612357124291,8.709612357124291,8.709612357124291
word,1e-05,3.1226439982862217,3.1226085095360054,3.1229633970381694,8.709826630597611,8.709612357124291,8.711755091857496
word,0.0001,3.1226605258068525,3.1219594870364378,3.1231861938212826,8.709926620763401,8.705695061424038,8.713100560465831
word,0.001,3.122910608765842,3.1207797945358555,3.1246259700139043,8.7114396215382,8.698579319621555,8.721800373139356
word,0.01,3.1220957338026976,3.1165578169266883,3.127310322472494,8.706535945297109,8.673160557384529,8.73804370958264
word,0.05,3.118284647191298,3.107236794651237,3.134943292166136,8.683666201948826,8.617305282339684,8.784397216305505
word,0.1,3.0995322590079177,3.0787313613630536,3.1109817967762647,8.571614357434182,8.448711654572152,8.639703466402718
