messup_type,messup_prob,entropy_mean,entropy_min,entropy_max,perplexity_mean,perplexity_min,perplexity_max
character,0.0,5.2874846405274205,5.2874846405274205,5.2874846405274205,39.05633421084705,39.05633421084705,39.05633421084705
character,1e-05,5.287458284521222,5.287365141815407,5.287518542286584,39.05562072789242,39.05309930103211,39.05725200286547
character,0.0001,5.287033508626451,5.286644105210353,5.2872426345037935,39.04412342164779,39.03358604433767,39.049783224560464
character,0.001,5.283812864627775,5.2824584382303845,5.284926841368938,38.95706258878103,38.92050267710131,38.98715136077336
character,0.01,5.250066457057137,5.247225744592146,5.252239212048611,38.05641213886297,37.98152018909365,38.113738262596975
character,0.05,5.058783843507143,5.05389154096547,5.064145702475497,33.330877446249396,33.217959301303615,33.454901755551404
character,0.1,4.732797542581993,4.725116864500953,4.740007446063153,26.589878947648835,26.44855254063063,26.722951344320855
word,0.0,5.2874846405274205,5.2874846405274205,5.2874846405274205,39.05633421084705,39.05633421084705,39.05633421084705
word,1e-05,5.2874932946907,5.287448294002151,5.2875276108201446,39.05656849998282,39.0553502578172,39.05749751082365
word,0.0001,5.2876990908301975,5.287605017305358,5.287836680943516,39.062140238683284,39.05959316141203,39.06586573721266
word,0.001,5.289390107808867,5.288790317599533,5.289901934317892,39.107953949912584,39.09169722347897,39.121829530437765
word,0.01,5.307607790228046,5.305000483980068,5.309055604832067,39.60493660345087,39.5334096503095,39.644686298323194
word,0.05,5.379988385368776,5.378007951926059,5.382309861261614,41.642625338238545,41.58547921107922,41.70966619723279
word,0.1,5.457836045908288,5.453280339469338,5.460902566780672,43.95143229453386,43.812794741319685,44.04488455445509
